ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000003343,郭嚴文,AJK,Lamigo,93,396,347,48,60,112,80,24,1,7,159,49,3,7,5,7,35,0,2,1,100,93
0000000153,林承飛,AJK,Lamigo,91,328,291,31,33,77,47,23,1,6,120,64,4,6,4,3,27,0,3,3,70,83
0000000132,梁家榮,AJK,Lamigo,82,270,239,34,31,64,42,14,2,6,100,50,0,6,2,3,24,0,2,0,69,59
0000003345,林智平,AJK,Lamigo,77,272,249,30,36,66,51,11,1,3,88,42,10,9,5,1,14,0,3,4,94,48
0000003533,藍寅倫,AJK,Lamigo,76,304,271,51,57,87,57,14,2,14,147,46,5,4,0,3,25,0,5,3,74,67
0000004030,詹智堯,AJK,Lamigo,73,254,221,26,38,54,33,11,1,9,94,38,6,5,3,0,25,1,5,2,87,42
0000003563,余德龍,AJK,Lamigo,61,172,154,14,31,39,32,4,1,2,51,30,5,5,3,2,12,1,1,2,52,35
0000003660,陽耀勳,AJK,Lamigo,57,195,181,25,38,63,44,14,0,5,92,38,8,3,1,0,13,0,0,5,41,39
0000001258,劉時豪,AJK,Lamigo,53,133,117,16,9,21,17,2,0,2,29,17,1,1,5,2,8,0,1,1,36,45
0000002956,黃浩然,AJK,Lamigo,50,155,141,21,12,38,23,11,1,3,60,40,0,2,2,2,8,0,2,0,34,31
0000002287,楊岱均,AJK,Lamigo,46,92,82,17,9,29,24,5,0,0,34,9,0,4,0,1,9,1,0,0,20,25
0000004032,嚴宏鈞,AJK,Lamigo,38,105,85,7,17,24,20,4,0,0,28,22,0,4,7,0,13,0,0,0,25,14
0000003048,葉竹軒,AJK,Lamigo,34,55,43,4,6,11,10,1,0,0,12,11,3,0,0,0,11,0,1,0,10,11
0000003174,郭永維,AJK,Lamigo,33,95,84,5,12,20,17,3,0,0,23,14,3,3,2,0,9,0,0,2,33,17
0000003305,鍾承祐,AJK,Lamigo,24,50,43,4,7,9,7,2,0,0,11,17,0,1,0,0,6,0,1,0,8,9
0000002282,張閔勛,AJK,Lamigo,17,35,32,1,3,4,4,0,0,0,4,10,0,0,1,0,1,0,1,0,7,11
0000002286,林立,AJK,Lamigo,13,53,47,11,12,16,12,2,0,2,24,15,2,2,0,0,6,0,0,1,9,7
0000000935,王柏融,AJK,Lamigo,115,517,437,101,107,178,113,33,1,31,306,44,16,6,0,4,65,15,11,10,108,111
0000001318,朱育賢,AJK,Lamigo,112,424,364,83,71,112,56,29,0,27,222,89,1,5,0,3,51,1,6,2,86,80
0000003537,林政億,AJK,Lamigo,10,21,20,1,1,4,4,0,0,0,4,6,0,1,0,0,1,0,0,0,8,2
0000003609,陳俊秀,AJK,Lamigo,106,417,355,78,74,114,69,26,3,16,194,78,15,14,0,9,52,1,1,2,78,94
0000003467,林泓育,AJK,Lamigo,100,431,393,77,69,130,84,28,0,18,212,63,1,17,1,7,22,2,7,3,109,99
0000001286,馮健庭,AJK,Lamigo,8,15,15,1,1,3,2,1,0,0,4,4,0,0,0,0,0,0,0,1,3,5
0000001253,紀品宏,AJK,Lamigo,7,5,4,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
0000000158,廖健富,AJK,Lamigo,6,11,11,0,2,5,5,0,0,0,5,2,0,0,0,0,0,0,0,0,3,1
0000003468,陳雁風,AJK,Lamigo,3,10,10,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,3
0000000141,董子浩,AJK,Lamigo,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0000003615,胡金龍,AEO,富邦,92,387,351,71,52,113,76,23,3,11,175,49,3,8,0,5,30,2,1,2,102,92
0000003339,林哲瑄,AEO,富邦,91,407,351,43,58,104,75,23,3,3,142,60,9,11,2,6,39,1,9,5,81,112
0000003192,方克偉,AEO,富邦,90,245,216,32,34,54,37,9,0,8,87,55,0,5,4,2,21,0,2,0,67,42
0000000276,張建銘,AEO,富邦,84,286,262,25,29,76,58,13,1,4,103,50,0,7,2,2,18,1,2,0,85,52
