ID,Name,Team ID,Team Name,POS,G,TC,PO,A,E,DP,TP,PB,CS,SB
0000000476,葉君璋,AEG,興農,C,85,602,521,75,6,12,0,8,46,57
0000000253,施昭同,AEG,興農,C,21,73,60,12,1,2,0,0,9,12
0000003858,闕樹木,AEG,興農,1B,84,766,700,61,5,79,0,0,0,0
0000000264,安生,AEG,興農,1B,9,16,15,1,0,2,0,0,0,0
0000000260,曾揚岳,AEG,興農,1B,10,63,58,5,0,6,0,0,0,0
0000000241,陳宗甫,AEG,興農,2B,16,62,29,28,5,5,0,0,0,0
0000000180,黃忠義,AEG,興農,2B,78,411,178,222,11,54,0,0,0,0
0000000486,張泰山,AEG,興農,3B,61,167,42,112,13,14,0,0,0,0
0000000241,陳宗甫,AEG,興農,3B,40,84,30,44,10,6,0,0,0,0
0000000250,張家浩,AEG,興農,SS,11,49,20,27,2,7,0,0,0,0
0000000246,鄭兆行,AEG,興農,SS,81,385,140,232,13,57,0,0,0,0
0000000180,黃忠義,AEG,興農,SS,1,5,3,2,0,0,0,0,0,0
0000000251,高健龍,AEG,興農,LF,15,16,16,0,0,0,0,0,0,0
0000000240,羅松永,AEG,興農,LF,85,110,106,1,3,1,0,0,0,0
0000000250,張家浩,AEG,興農,CF,9,6,6,0,0,0,0,0,0,0
0000000249,曾華偉,AEG,興農,CF,87,211,203,4,4,2,0,0,0,0
0000000253,施昭同,AEG,興農,RF,3,0,0,0,0,0,0,0,0,0
0000000251,高健龍,AEG,興農,RF,17,38,36,2,0,0,0,0,0,0
0000000250,張家浩,AEG,興農,RF,78,149,143,6,0,2,0,0,0,0
0000003908,何紀賢,AEG,興農,P,33,37,6,30,1,3,0,0,0,0
0000000433,蔡重光,AEG,興農,P,18,1,1,0,0,0,0,0,0,0
0000000265,魔銳R.M,AEG,興農,P,14,6,2,3,1,0,0,0,0,0
0000000263,摩塔D.M,AEG,興農,P,3,1,0,1,0,0,0,0,0,0
0000000262,楊仁明,AEG,興農,P,10,3,1,1,1,0,0,0,0,0
0000000261,蔡仲南,AEG,興農,P,25,40,15,21,4,4,0,0,0,0
0000000259,前田克拓,AEG,興農,P,24,29,7,20,2,2,0,0,0,0
0000000258,羅仁成,AEG,興農,P,35,19,3,14,2,1,0,0,0,0
0000000257,郭勇志,AEG,興農,P,8,9,3,5,1,1,0,0,0,0
0000000248,郭耀文,AEG,興農,P,14,5,2,3,0,0,0,0,0,0
0000000209,勇壯O.M,AEG,興農,P,41,39,7,28,4,2,0,0,0,0
0000000671,鄭漢禮,ACC,兄弟,C,3,6,5,0,1,0,0,0,0,1
0000000664,許閔嵐,ACC,兄弟,C,1,0,0,0,0,0,0,0,0,0
0000000547,陳瑞昌,ACC,兄弟,C,70,322,283,36,3,6,0,4,21,49
0000000528,郭一峰,ACC,兄弟,C,50,229,205,21,3,5,0,2,15,34
0000003798,蔡豐安,ACC,兄弟,1B,75,786,713,62,11,77,0,0,0,0
0000000667,彭政閔,ACC,兄弟,1B,15,147,135,11,1,9,0,0,0,0
0000000664,許閔嵐,ACC,兄弟,1B,2,2,2,0,0,0,0,0,0,0
0000000622,陳瑞振,ACC,兄弟,1B,1,0,0,0,0,0,0,0,0,0
0000000667,彭政閔,ACC,兄弟,2B,1,1,1,0,0,0,0,0,0,0
0000000661,馮勝賢,ACC,兄弟,2B,86,484,218,255,11,57,0,0,0,0
0000000588,陳懷山,ACC,兄弟,2B,8,33,14,18,1,6,0,0,0,0
0000000573,王光輝,ACC,兄弟,2B,2,0,0,0,0,0,0,0,0,0
0000000663,王金勇,ACC,兄弟,3B,64,177,43,120,14,13,0,0,0,0
0000000588,陳懷山,ACC,兄弟,3B,35,86,24,52,10,4,0,0,0,0
0000000573,王光輝,ACC,兄弟,3B,1,2,0,2,0,0,0,0,0,0
0000000675,朱鴻森,ACC,兄弟,SS,2,9,3,6,0,2,0,0,0,0
0000000661,馮勝賢,ACC,兄弟,SS,7,27,12,12,3,3,0,0,0,0
0000000622,陳瑞振,ACC,兄弟,SS,85,457,140,301,16,60,0,0,0,0
0000000588,陳懷山,ACC,兄弟,SS,1,0,0,0,0,0,0,0,0,0
0000000665,李志傑,ACC,兄弟,LF,23,19,19,0,0,0,0,0,0,0
0000000651,許誌為,ACC,兄弟,LF,18,20,20,0,0,0,0,0,0,0
0000000650,林明憲,ACC,兄弟,LF,71,95,89,3,3,0,0,0,0,0
0000000670,陳致遠,ACC,兄弟,CF,84,227,214,10,3,6,0,0,0,0
0000000651,許誌為,ACC,兄弟,CF,1,5,5,0,0,0,0,0,0,0
0000000650,林明憲,ACC,兄弟,CF,9,23,22,0,1,0,0,0,0,0
0000003798,蔡豐安,ACC,兄弟,RF,1,1,1,0,0,0,0,0,0,0
0000000665,李志傑,ACC,兄弟,RF,40,74,68,5,1,2,0,0,0,0
0000000651,許誌為,ACC,兄弟,RF,31,38,38,0,0,0,0,0,0,0
0000000588,陳懷山,ACC,兄弟,RF,44,80,78,2,0,1,0,0,0,0
0000003828,風神J.H,ACC,兄弟,P,30,60,9,48,3,6,0,0,0,0
0000003750,劉義傳,ACC,兄弟,P,3,2,0,2,0,0,0,0,0,0
0000000674,中込伸,ACC,兄弟,P,28,54,14,36,4,2,0,0,0,0
0000000673,陳興昌,ACC,兄弟,P,4,0,0,0,0,0,0,0,0,0
0000000652,張士凱,ACC,兄弟,P,7,0,0,0,0,0,0,0,0,0
0000000642,王勁力,ACC,兄弟,P,28,39,12,26,1,2,0,0,0,0
0000000634,蕭任汶,ACC,兄弟,P,26,10,3,7,0,0,0,0,0,0
0000000619,劉文貿,ACC,兄弟,P,19,12,2,9,1,1,0,0,0,0
0000000607,吳俊億,ACC,兄弟,P,41,20,5,12,3,3,0,0,0,0
0000000198,賴有亮,ACC,兄弟,P,14,2,0,2,0,0,0,0,0,0
0000002584,葉高泉,ADD,統一7-ELEVEn,C,3,2,2,0,0,0,0,0,0,0
0000002574,高政華,ADD,統一7-ELEVEn,C,43,194,171,18,5,2,0,4,11,38
0000002549,吳昭輝,ADD,統一7-ELEVEn,C,76,396,338,52,6,7,0,7,35,36
0000002578,曾揚志,ADD,統一7-ELEVEn,1B,26,148,142,4,2,14,0,0,0,0
0000000208,張文宗,ADD,統一7-ELEVEn,1B,67,432,414,16,2,34,0,0,0,0
0000000191,王傳家,ADD,統一7-ELEVEn,1B,50,410,385,21,4,26,0,0,0,0
0000002583,林宗毅,ADD,統一7-ELEVEn,2B,7,4,4,0,0,0,0,0,0,0
0000002582,黃信福,ADD,統一7-ELEVEn,2B,45,151,54,85,12,19,0,0,0,0
0000002566,蘇煒智,ADD,統一7-ELEVEn,2B,10,17,4,12,1,3,0,0,0,0
0000002564,吳佳榮,ADD,統一7-ELEVEn,2B,1,0,0,0,0,0,0,0,0,0
0000002474,羅國璋,ADD,統一7-ELEVEn,2B,61,266,104,157,5,33,0,0,0,0
0000000567,陳琦豐,ADD,統一7-ELEVEn,2B,7,17,7,9,1,1,0,0,0,0
0000002582,黃信福,ADD,統一7-ELEVEn,3B,1,0,0,0,0,0,0,0,0,0
0000002578,曾揚志,ADD,統一7-ELEVEn,3B,22,28,3,21,4,0,0,0,0,0
0000002566,蘇煒智,ADD,統一7-ELEVEn,3B,5,8,3,3,2,1,0,0,0,0
0000002564,吳佳榮,ADD,統一7-ELEVEn,3B,68,186,42,134,10,14,0,0,0,0
0000002474,羅國璋,ADD,統一7-ELEVEn,3B,1,0,0,0,0,0,0,0,0,0
0000000567,陳琦豐,ADD,統一7-ELEVEn,3B,41,62,17,42,3,4,0,0,0,0
0000002583,林宗毅,ADD,統一7-ELEVEn,SS,16,33,7,23,3,3,0,0,0,0
0000002566,蘇煒智,ADD,統一7-ELEVEn,SS,9,19,5,13,1,0,0,0,0,0
0000002564,吳佳榮,ADD,統一7-ELEVEn,SS,2,3,1,1,1,0,0,0,0,0
0000002474,羅國璋,ADD,統一7-ELEVEn,SS,3,13,3,10,0,0,0,0,0,0
0000000515,許聖杰,ADD,統一7-ELEVEn,SS,77,420,122,282,16,52,0,0,0,0
0000003851,林鴻遠,ADD,統一7-ELEVEn,LF,71,108,97,5,6,3,0,0,0,0
0000002564,吳佳榮,ADD,統一7-ELEVEn,LF,7,4,4,0,0,0,0,0,0,0
0000002563,柯建鋒,ADD,統一7-ELEVEn,LF,12,8,6,1,1,0,0,0,0,0
0000000506,蔡昆祥,ADD,統一7-ELEVEn,LF,9,7,6,0,1,0,0,0,0,0
0000000191,王傳家,ADD,統一7-ELEVEn,LF,21,14,14,0,0,0,0,0,0,0
0000002564,吳佳榮,ADD,統一7-ELEVEn,CF,5,3,3,0,0,0,0,0,0,0
0000002563,柯建鋒,ADD,統一7-ELEVEn,CF,24,29,27,1,1,0,0,0,0,0
0000002548,黃甘霖,ADD,統一7-ELEVEn,CF,69,154,149,3,2,0,0,0,0,0
