ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
A0D4,陳禹勳,A02,Lamigo,65,0,65,0,0,0,4,4,11,3,17,66.0,289,1145,65,5,29,2,4,69,5,0,28,25,60,60
R394,林柏佑,A02,Lamigo,48,0,48,0,0,0,3,4,7,5,4,48.0,227,770,64,7,11,5,3,37,0,0,34,29,58,49
H510,王躍霖,A02,Lamigo,41,6,35,0,0,0,2,5,0,1,10,61.1,301,1178,78,7,40,2,1,69,6,0,47,42,47,64
H377,洪聖欽,A02,Lamigo,40,7,33,1,0,0,3,5,0,1,3,59.1,278,973,77,15,24,1,3,37,5,1,53,44,64,72
R679,黃偉晟,A02,Lamigo,39,0,39,0,0,0,2,1,0,3,8,32.2,156,527,45,2,9,0,4,18,2,0,31,24,52,27
A0B1,鄭承浩,A02,Lamigo,36,1,35,0,0,0,2,2,0,0,4,42.0,201,699,61,8,14,1,3,22,1,0,35,34,49,51
W0E7,羅曼,A02,Lamigo,34,25,9,0,0,0,12,7,0,0,2,157.0,701,2758,167,19,58,1,9,154,9,0,97,81,166,146
R527,王溢正,A02,Lamigo,26,23,3,0,0,0,7,7,0,0,0,134.0,647,2369,196,19,55,1,10,107,6,1,119,102,138,140
A0F4,游宗儒,A02,Lamigo,26,0,26,0,0,0,1,0,0,0,0,29.0,142,536,49,4,10,0,2,15,4,0,31,31,35,31
R597,郭駿傑,A02,Lamigo,24,2,22,0,0,0,0,3,0,0,1,42.0,192,720,56,10,11,0,3,29,3,0,39,35,47,46
R236,郭文凱,A02,Lamigo,19,0,19,0,0,0,0,1,0,1,0,19.2,103,386,34,1,11,0,2,3,2,0,24,19,34,19
A0D2,林國裕,A02,Lamigo,18,0,18,0,0,0,0,3,0,1,0,17.0,96,360,30,6,13,0,1,9,0,0,24,23,23,20
A0F5,索爾,A02,Lamigo,15,10,5,0,0,0,4,5,0,1,1,66.1,318,1205,87,8,27,0,7,55,2,1,55,47,76,66
A0E1,泰霸,A02,Lamigo,14,14,0,1,0,0,2,5,0,0,0,76.1,333,1263,93,9,21,0,3,58,7,1,46,43,101,57
Z108,拿威,A02,Lamigo,13,10,3,0,0,0,7,3,0,0,1,57.1,279,1131,72,10,34,0,4,53,5,0,43,39,74,42
z106,史密斯,A02,Lamigo,9,8,1,0,0,0,1,5,0,0,0,44.2,216,774,65,9,15,0,5,31,0,0,48,42,54,46
L0N3,賽格威,A02,Lamigo,8,7,1,1,0,1,3,1,0,0,0,46.0,191,713,50,4,6,0,3,28,2,0,21,21,56,48
R289,蔡璟豪,A02,Lamigo,7,2,5,0,0,0,0,0,0,0,0,18.2,88,317,23,2,10,0,2,8,1,0,17,17,23,22
H371,鄭佳銘,A02,Lamigo,6,0,6,0,0,0,0,0,0,0,1,6.1,41,153,15,0,3,0,2,5,3,0,11,9,9,7
A0D7,林樺慶,A02,Lamigo,5,1,4,0,0,0,0,1,0,0,1,15.1,74,260,22,2,7,0,2,4,0,0,12,11,18,21
A0F1,葉文淇,A02,Lamigo,4,1,3,0,0,0,0,0,0,0,0,5.0,24,120,2,0,6,0,0,8,0,0,3,3,1,7
A0C7,朱俊祥,A02,Lamigo,4,0,4,0,0,0,0,0,0,0,0,2.2,12,50,3,0,2,0,0,2,0,0,3,3,1,4
W0B6,曾孟承,A02,Lamigo,3,0,3,0,0,0,0,0,0,0,0,2.2,16,55,5,0,2,0,1,0,0,0,2,2,2,6
H645,劉昱言,A02,Lamigo,3,1,2,0,0,0,0,1,0,0,0,5.2,30,136,4,0,9,0,0,8,5,0,4,3,4,5
A0E9,蘇俊羽,A02,Lamigo,3,1,2,0,0,0,0,1,0,0,1,6.2,32,132,6,0,4,1,1,8,0,0,7,7,6,6
z105,林宗緯,A02,Lamigo,2,0,2,0,0,0,0,0,0,0,0,1.0,12,39,7,1,1,1,0,0,0,0,6,6,1,2
A0B6,洪宸宇,A02,Lamigo,2,0,2,0,0,0,0,0,0,0,0,0.1,4,21,1,0,1,0,1,0,1,0,2,1,1,0
R359,陳敏賜,A02,Lamigo,1,0,1,0,0,0,0,0,0,0,0,1.0,4,15,1,0,0,0,0,1,0,0,0,0,1,1
R047,王豐鑫,A02,Lamigo,1,0,1,0,0,0,0,0,0,0,0,2.0,10,38,1,1,3,0,0,1,0,0,1,1,3,2
A0F0,張明翔,A02,Lamigo,1,1,0,0,0,0,0,0,0,0,0,5.0,20,79,1,0,2,0,1,4,0,0,1,1,9,3
R354,賴鴻誠,B03,義大,62,0,62,0,0,0,4,4,2,3,18,59.2,262,1004,58,14,30,0,3,39,3,0,33,28,72,60
H401,張耿豪,B03,義大,58,0,58,0,0,0,5,2,1,4,12,42.0,193,756,53,7,19,2,2,25,2,0,33,31,38,54
H307,黃勝雄,B03,義大,47,0,47,0,0,0,1,4,8,4,8,44.0,197,726,46,6,22,0,2,31,2,0,25,24,33,63
H524,羅華韋,B03,義大,46,0,46,0,0,0,3,2,1,1,7,42.2,204,780,54,6,29,0,2,22,2,1,32,30,61,36
R081,倪福德,B03,義大,43,10,33,0,0,0,6,6,8,3,4,96.2,420,1593,112,17,22,0,6,69,2,0,56,52,91,119
B0G4,林晨樺,B03,義大,40,2,38,0,0,0,4,0,1,1,8,58.0,259,960,66,12,20,0,4,40,0,2,44,39,59,70
A0D5,郭勝安,B03,義大,40,0,40,0,0,0,1,2,0,0,3,40.2,187,724,35,3,25,0,7,29,2,0,20,14,56,35
R670,林羿豪,B03,義大,35,0,35,0,0,0,0,2,1,1,7,29.2,148,552,38,4,16,1,2,21,6,0,19,18,35,35
A0C0,羅力,B03,義大,31,29,2,0,0,0,13,11,0,0,0,190.0,807,3053,200,21,57,0,6,159,5,0,98,84,229,156
B0J5,力猛,B03,義大,29,27,2,0,0,0,9,9,0,0,0,152.2,672,2662,157,17,61,0,7,117,2,1,96,81,151,178
A0E2,藍斯佛,B03,義大,24,19,5,0,0,0,6,4,0,0,1,108.0,467,1873,121,17,30,0,4,119,5,0,61,57,85,108
