ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000004625,吳俊偉,ACN,中信,61,0,61,0,0,0,2,1,8,26,66.2,245,960,45,1,15,2,1,60,4,0,10,9,75,49
0000003639,呂彥青,ACN,中信,54,0,54,0,0,0,4,5,22,7,58.2,246,994,53,6,21,4,1,68,4,0,25,25,50,53
0000000778,蔡齊哲,ACN,中信,49,0,49,0,0,0,1,2,1,17,45.0,195,705,52,3,12,1,1,36,0,0,22,19,36,58
0000003506,謝榮豪,ACN,中信,33,0,33,0,0,0,2,1,0,6,30.2,141,541,35,2,13,1,4,21,2,0,20,20,27,41
0000006006,德保拉,ACN,中信,27,27,0,0,0,0,10,9,0,0,173.1,737,2711,190,9,39,0,11,139,3,0,74,68,214,144
0000005572,魏碩成,ACN,中信,23,0,23,0,0,0,1,0,0,5,33.0,138,506,23,1,21,1,3,28,1,0,12,12,46,17
0000001232,江忠城,ACN,中信,23,0,23,0,0,0,1,1,0,2,18.0,80,311,15,3,10,0,1,17,2,0,10,10,18,19
0000001005,彭識穎,ACN,中信,23,0,23,0,0,0,0,0,0,5,13.0,60,235,10,1,8,1,2,13,1,0,7,6,13,14
0000002345,鄭浩均,ACN,中信,21,19,2,0,0,0,9,5,1,0,101.1,426,1763,76,7,51,0,8,110,6,1,38,34,85,96
0000006846,泰樂,ACN,中信,18,8,10,0,0,0,3,5,0,2,59.0,258,898,70,2,17,0,1,36,6,1,31,28,64,70
0000003334,鄭凱文,ACN,中信,17,16,1,1,0,0,5,7,0,0,95.0,416,1384,122,7,15,0,5,47,0,0,57,52,102,125
0000000771,陳琥,ACN,中信,15,0,15,0,0,0,0,1,0,2,17.0,68,278,10,1,13,0,1,8,0,0,8,7,17,19
0000006176,余謙,ACN,中信,13,11,2,0,0,0,3,6,0,0,63.2,277,1033,63,7,24,0,4,38,3,0,39,35,88,60
0000007053,艾士特,ACN,中信,12,12,0,0,0,0,6,5,0,0,68.2,283,1090,60,4,13,0,4,79,1,1,29,25,45,82
0000003331,李振昌,ACN,中信,11,0,11,0,0,0,0,1,0,5,8.0,35,137,9,2,3,0,1,8,1,0,6,6,9,5
