ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
E0N1,王凱程,EE2,中信兄弟二軍,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
005342,林志綱,EE2,中信兄弟二軍,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004636,江坤宇,EE2,中信兄弟二軍,4,19,18,2,4,5,2,3,0,0,8,0,0,2,0,0,0,0,1,0,7,6
k440,高宇杰,EE2,中信兄弟二軍,6,27,24,5,3,8,3,4,0,1,15,2,0,0,0,1,2,0,0,0,3,12
E0J8,陳子豪,EE2,中信兄弟二軍,7,31,24,5,6,10,4,4,1,1,19,5,0,0,0,0,6,1,0,1,4,5
H230,許基宏,EE2,中信兄弟二軍,7,33,24,11,11,12,2,3,0,7,36,5,1,0,0,0,7,2,0,0,1,6
H529,吳東融,EE2,中信兄弟二軍,7,33,26,0,11,11,8,2,1,0,15,3,2,1,0,0,6,0,1,1,9,3
k447,岳東華,EE2,中信兄弟二軍,8,33,30,11,9,11,4,2,0,5,28,6,0,0,0,0,3,0,0,0,7,6
005565,張聖豪,EE2,中信兄弟二軍,10,7,6,1,1,1,0,0,0,1,4,1,0,1,0,0,1,0,0,0,1,3
R610,黃鈞聲,EE2,中信兄弟二軍,11,48,36,12,13,18,11,3,1,3,32,6,0,0,0,1,10,0,1,0,7,6
A044,林智勝,EE2,中信兄弟二軍,12,48,42,16,8,13,6,3,1,3,27,10,0,1,0,1,3,1,1,1,9,11
E0M7,陳文杰,EE2,中信兄弟二軍,12,58,47,23,23,24,14,4,1,5,45,8,3,0,0,0,9,1,1,0,10,5
005570,邱志恆,EE2,中信兄弟二軍,15,13,10,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,2,1,2,3
