ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000001005,彭識穎,ACN,中信兄弟二軍,33,0,33,0,0,0,1,1,0,2,12,32.1,127,478,20,0,9,1,3,27,0,0,11,9,41,26
0000003560,邱品睿,ACN,中信兄弟二軍,27,0,27,0,0,0,1,1,1,2,2,27.0,116,450,33,6,4,0,0,23,2,0,17,12,26,30
0000000779,陳柏豪,ACN,中信兄弟二軍,25,0,25,0,0,0,0,2,1,1,4,24.1,111,427,28,2,13,0,0,23,3,0,18,17,33,14
0000001515,吳哲源,ACN,中信兄弟二軍,23,0,23,0,0,0,3,0,8,1,0,22.1,80,326,10,1,3,0,0,26,1,1,2,1,18,22
0000004626,王奕凱,ACN,中信兄弟二軍,21,15,6,0,0,0,4,7,0,0,3,72.2,316,1337,58,7,47,0,7,69,10,0,45,41,55,80
0000000117,洪宸宇,ACN,中信兄弟二軍,19,3,16,0,0,0,4,1,1,0,2,25.1,108,419,20,2,10,0,4,23,0,0,17,16,25,25
0000001387,王梓安,ACN,中信兄弟二軍,17,0,17,0,0,0,1,0,0,1,2,18.1,79,308,13,1,12,0,3,18,0,0,8,8,20,13
0000000760,張凱倫,ACN,中信兄弟二軍,17,0,17,0,0,0,1,0,0,1,3,16.2,86,320,26,3,10,0,1,15,2,1,18,15,15,19
0000001349,周磊,ACN,中信兄弟二軍,15,10,5,0,0,0,5,2,0,0,0,48.0,212,735,55,0,14,0,2,29,1,0,23,21,70,42
0000002281,廖乙忠,ACN,中信兄弟二軍,14,13,1,0,0,0,9,2,0,0,0,75.2,305,1264,67,7,15,0,3,68,0,0,17,13,62,90
0000000773,李吳永衡,ACN,中信兄弟二軍,13,0,13,0,0,0,2,0,0,0,2,13.1,62,245,17,2,8,0,0,9,2,0,9,8,18,10
0000000771,陳琥,ACN,中信兄弟二軍,12,6,6,0,0,0,4,0,0,0,2,38.1,164,593,31,1,17,0,5,25,2,0,16,14,35,51
0000004625,吳俊偉,ACN,中信兄弟二軍,12,0,12,0,0,0,0,0,2,0,1,10.0,37,148,4,0,4,0,0,9,0,0,1,1,15,5
