ID,Name,Handedness,Birthday,Country,Full Name
0000000001,梁如豪,右投右打,1973/10/21,中華民國,
0000000002,李風華,右投右打,1975/09/19,中華民國,
0000000003,許文雄,右投右打,1978/12/05,中華民國,
0000000004,葉賢文,右投右打,1974/04/08,中華民國,
0000000005,安智輝,右投右打,1977/01/31,中華民國,
0000000006,蘇立偉,右投右打,1980/06/09,中華民國,
0000000007,陳峰民,右投右打,1977/10/29,中華民國,
0000000008,陳昭穎,右投右打,1983/04/02,中華民國,
0000000009,王俊文,右投右打,1977/12/19,中華民國,
0000000010,葉成龍,右投右打,1976/10/17,中華民國,
0000000011,蔡昱詳,左投左打,1969/09/07,中華民國,
0000000012,潘忠韋,右投右打,1976/08/10,中華民國,
0000000013,郭昌庭,右投右打,1979/01/11,中華民國,
0000000014,呂俊雄,右投右打,1974/12/07,中華民國,
0000000015,邱新勇,右投右打,1984/03/28,中華民國,
0000000016,黃龍義,右投右打,1979/02/20,中華民國,
0000000017,陳志明,右投右打,1978/12/25,中華民國,
0000000018,李以寶,右投右打,1968/10/10,中華民國,
0000000019,許堯淵,右投右打,1978/01/14,中華民國,
0000000020,孟憲政,右投右打,1977/01/24,中華民國,
0000000021,蔡士凡,右投右打,1976/10/03,中華民國,
0000000022,歐斯納,右投左打,1974/07/11,多明尼加,Rafael Ozuna
0000000023,馬丁,右投右打,1972/11/19,美國,Anthony Martins
0000000024,卡文,右投右打,1978/03/07,澳大利亞,Calvin Chipperfield
0000000025,雅哥,右投右打,1979/10/30,委內瑞拉,John Acosta
0000000026,藍迪,右投右打,1975/09/11,美國,Randi Mallard
0000000027,畢可,右投右打,1969/06/10,美國,Greg Bicknell
0000000028,尹景熙,右投右打,1980/08/12,韓國,Yun Gyong Hee
0000000029,金東鎬,右投右打,1973/05/24,韓國,Kim Jong Ho
0000000030,林建宏,右投右打,1980/09/27,中華民國,
0000000031,高力歐,左投左打,1977/03/28,多明尼加,Claudio Galva
0000000032,許志昌,右投右打,1981/04/19,中華民國,
0000000033,石志偉,右投右打,1977/08/14,中華民國,
0000000034,張民諺,右投左打,1981/01/20,中華民國,
0000000035,貝力,右投右打,1971/01/24,美國,Cory Bailey
0000000036,馬奎茲,右投右打,1973/04/21,美國,Robert Marquez
0000000037,艾弗勒斯,左投左打,1977/01/22,委內瑞拉,Rafael Alvarez
0000000038,徐余偉,左投左打,1979/07/18,中華民國,
0000000039,入来智,右投右打,1967/06/03,日本,Iriki Satoshi
0000000040,蔡建偉,左投左打,1980/03/29,中華民國,
0000000041,曾豪駒,右投右打,1979/11/27,中華民國,
0000000043,吳偲佑,左投左打,1982/05/24,中華民國,
0000000044,萊特,右投右打,1977/06/06,美國,Christopher Wright
0000000045,林智勝,右投右打,1982/01/01,中華民國,Ngayaw Ake
0000000046,曼尼,右投右打,1972/08/14,美國,David Manning
0000000047,沈亞倫,左投左打,1981/01/18,中華民國,
0000000048,蔡家宏,右投右打,1979/02/13,中華民國,
0000000049,許志華,右投右打,1981/08/10,中華民國,
0000000050,林士欽,右投右打,1979/10/05,中華民國,
0000000051,許傳誠,右投右打,1979/10/27,中華民國,
0000000052,羅德里茲,右投右打,1976/10/25,美國,Victor A Rodriguez
0000000053,王建強,右投右打,1980/03/09,中華民國,
0000000054,霍格斯,右投右打,1977/03/25,多明尼加,Jose Vargas
0000000055,西爾法,右投右打,1977/01/04,墨西哥,Walter Silva
0000000056,韋德,右投右打,1975/07/08,美國,Wade Travis
0000000057,黃小偉,右投右打,1981/07/28,中華民國,
0000000058,力拿,右投右打,1972/11/25,多明尼加,Elvin Nina
0000000059,冰奇,左投左打,1972/01/20,美國,Matthew Beech
0000000060,石彥緯,右投右打,1981/02/26,中華民國,
0000000061,恩洛德,右投右打,1971/03/04,多明尼加,Nerio Rodriguez
0000000062,雷諾,右投右打,1978/12/04,委內瑞拉,Elio Serrano
0000000063,黃俊中,右投右打,1982/04/25,中華民國,
0000000064,陳金鋒,右投右打,1977/10/28,中華民國,
0000000065,馬丁尼茲,右投右打,1975/11/09,多明尼加,Gustavo Martinez
0000000066,雷鵬,右投右打,1974/11/22,美國,Kenny Rayborn
0000000067,貝茲,右投左打,1973/06/24,加拿大,Todd Betts
0000000068,米那亞,右投右打,1977/07/30,多明尼加,Pedro Minaya
0000000069,荒川祐輔,右投右打,1978/03/26,日本,
0000000070,卡猛士,右投左打,1971/10/14,美國,Midre Cummings
0000000071,巴克斯,右投右打,1977/02/22,多明尼加,Martin Vargas
0000000072,飛銳,右投右打,1971/10/12,美國,Anthony Fiore
0000000073,里昂,右投左右開弓,1976/05/07,波多黎各,Donny Leon
0000000074,葉俊麟,左投左打,1980/08/14,中華民國,
0000000075,鄭余亮,右投右打,1983/01/20,中華民國,
0000000076,劉家華,右投右打,1984/10/14,中華民國,
0000000077,銳斯,左投左打,1973/01/10,美國,Gary Rath
0000000078,艾銳達,左投左打,1975/02/19,委內瑞拉,Horacio Estrada
0000000079,銳猛,右投右打,1980/11/18,委內瑞拉,Josmir Romero
0000000080,猛克,左投左打,1974/04/29,波多黎各,Hector Mercado
0000000081,馬帝茲,左投左打,1980/01/20,波多黎各,Luis Martinez
0000000083,銳克,左投左打,1977/04/18,美國,Randy Leek
0000000084,佐藤和宏,左投左打,1977/09/21,日本,
0000000085,坎諾,左投左打,1975/01/01,美國,Jonathan Cannon
0000000086,羅銳,左投左打,1972/08/11,美國,Andrew Lorraine
0000000087,剛力士,右投右打,1973/12/27,美國,Raul Gonzalez
0000000088,鈴木誠,右投右打,1975/05/31,日本,Suzuki Makoto
