ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000002827,木南了,ZZZ083,社會人,14,48,35,5,10,13,12,1,0,0,14,5,1,0,3,0,9,0,1,1,9,11
0000002846,佐藤旭,ZZZ083,社會人,14,52,39,5,7,10,9,1,0,0,11,11,1,0,4,2,7,0,0,2,14,10
0000002847,矢幡勇人,ZZZ083,社會人,14,56,49,6,7,11,8,3,0,0,14,10,0,1,0,2,5,0,0,2,16,14
0000002840,堀米潤平,ZZZ083,社會人,13,55,38,2,11,14,13,1,0,0,15,7,9,0,1,0,16,0,0,2,13,5
0000002841,田村強,ZZZ083,社會人,13,50,44,15,7,14,9,2,1,2,24,15,0,0,0,2,4,0,0,0,8,9
0000002835,北川利生,ZZZ083,社會人,13,44,34,4,4,5,5,0,0,0,5,6,0,0,1,1,7,0,1,0,15,10
0000002838,北村祥治,ZZZ083,社會人,12,46,36,8,6,9,8,1,0,0,10,14,0,1,0,3,6,0,1,2,8,8
0000002849,長池城磨,ZZZ083,社會人,10,35,29,6,5,10,6,4,0,0,14,6,0,1,0,1,5,1,0,1,8,6
0000002845,笹川晃平,ZZZ083,社會人,9,42,36,14,8,16,7,7,0,2,29,7,3,0,0,0,6,0,0,0,3,10
0000002837,松本桃太郎,ZZZ083,社會人,9,21,19,2,4,8,8,0,0,0,8,3,0,0,0,0,2,0,0,0,4,4
0000002830,柘植世那,ZZZ083,社會人,9,29,27,3,3,9,6,1,2,0,14,9,0,0,1,0,1,0,0,0,5,5
0000002848,中澤彰太,ZZZ083,社會人,9,27,20,1,7,6,4,0,2,0,10,5,3,0,0,0,7,0,0,1,2,7
0000002833,久保皓史,ZZZ083,社會人,9,34,31,4,6,9,6,3,0,0,12,8,0,0,0,0,2,0,1,0,8,6
0000002839,青柳匠,ZZZ083,社會人,9,38,28,5,3,7,7,0,0,0,7,6,1,3,2,1,6,0,1,0,12,6
0000002828,辻野雄大,ZZZ083,社會人,9,27,21,4,3,5,4,0,1,0,7,3,2,1,0,0,6,0,0,0,8,5
0000002832,伊禮翼,ZZZ083,社會人,9,25,22,5,2,5,5,0,0,0,5,4,1,1,0,1,2,0,0,0,5,9
0000002836,小室湧未,ZZZ083,社會人,9,34,31,1,2,6,3,3,0,0,9,8,0,0,3,0,0,0,0,0,11,9
0000002834,原田拓実,ZZZ083,社會人,9,28,24,2,5,4,4,0,0,0,4,0,4,0,0,0,4,0,0,0,7,13
0000002844,長谷川拓真,ZZZ083,社會人,9,25,17,4,1,1,1,0,0,0,1,8,1,0,0,1,7,0,0,0,7,2
0000002831,地引雄貴,ZZZ083,社會人,8,30,22,3,4,8,6,1,0,1,12,3,0,1,2,0,4,0,2,0,10,3
0000002842,増川航太,ZZZ083,社會人,8,15,13,0,2,2,2,0,0,0,2,4,0,1,0,0,1,0,1,0,6,1
0000000929,王威晨,ZZZ039,中職,19,86,68,11,14,27,17,10,0,0,37,10,0,2,0,1,17,0,0,2,23,9
0000001114,曾陶鎔,ZZZ039,中職,19,76,68,10,10,19,11,6,1,1,30,16,1,2,0,0,6,0,2,1,17,16
0000000132,梁家榮,ZZZ039,中職,18,74,63,15,7,23,15,7,1,0,32,9,0,3,0,4,7,0,0,0,22,13
0000000158,廖健富,ZZZ039,中職,18,50,39,12,5,12,10,2,0,0,14,8,0,2,1,3,6,0,1,0,12,11
0000000362,申皓瑋,ZZZ039,中職,18,64,54,9,9,13,11,0,0,2,19,22,0,1,1,3,3,0,3,0,12,11
0000000774,陳子鴻,ZZZ039,中職,16,45,36,1,2,5,4,1,0,0,6,12,0,0,0,0,8,0,1,0,7,12
0000001409,吳東融,ZZZ039,中職,15,56,44,4,9,12,8,3,1,0,17,8,1,1,0,0,9,0,3,5,10,14
0000001754,林書逸,ZZZ039,中職,15,53,42,4,6,8,8,0,0,0,8,14,0,1,2,1,8,0,0,0,13,10
0000002286,林立,ZZZ039,中職,13,59,53,8,8,19,12,6,1,0,27,15,2,0,2,2,1,0,1,3,10,13
0000001217,于孟馗,ZZZ039,中職,13,45,42,7,9,13,8,5,0,0,18,6,0,1,0,0,3,0,0,1,12,11
0000002707,潘彥廷,ZZZ039,中職,10,26,22,5,6,6,4,1,1,0,9,8,1,1,2,0,1,0,1,0,7,3
0000000772,陳文杰,ZZZ039,中職,10,18,17,0,3,3,2,1,0,0,4,6,0,0,0,0,1,0,0,0,5,3
0000000348,蔡友達,ZZZ039,中職,9,14,10,1,0,3,2,1,0,0,4,3,0,0,1,0,2,0,1,0,4,1
0000002684,楊家維,ZZZ039,中職,7,25,23,3,2,6,6,0,0,0,6,5,0,0,2,0,0,0,0,0,7,7
