ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
K237,徳山武陽,z02,NPB,2,1,1,0,0,0,1,0,0,0,0,6.1,28,100,7,0,0,0,0,3,0,0,3,0,4,14
K232,川原弘之,z02,NPB,4,4,0,0,0,0,2,0,0,0,0,18.1,78,321,12,0,13,0,0,22,5,0,4,3,24,7
K234,伊藤和雄,z02,NPB,4,3,1,1,1,0,2,1,0,0,1,20.1,80,317,14,1,7,0,0,18,0,0,5,5,29,12
K238,松本竜也,z02,NPB,5,4,1,0,0,0,3,1,0,0,0,23.0,96,354,22,1,9,0,1,17,2,0,8,8,20,27
K239,小杉陽太,z02,NPB,5,4,1,0,0,0,4,0,0,0,0,28.2,104,361,17,1,5,0,1,18,1,1,4,4,41,22
K241,小川龍也,z02,NPB,5,3,2,0,0,0,4,0,0,0,1,25.1,97,356,17,0,8,0,1,16,2,0,6,6,43,12
K236,木谷良平,z02,NPB,7,2,5,0,0,0,1,0,0,0,1,22.2,91,338,13,1,6,0,1,19,1,0,8,6,31,21
K235,島本浩也,z02,NPB,9,0,9,0,0,0,0,0,0,0,4,14.2,56,238,9,0,2,0,0,23,0,0,2,1,6,16
K240,佐藤祥万,z02,NPB,13,0,13,0,0,0,0,0,3,0,2,13.2,54,214,13,0,3,0,0,16,0,0,4,4,17,5
K233,有馬翔,z02,NPB,14,0,14,0,0,0,2,0,3,1,2,15.0,57,240,7,1,5,0,1,19,2,0,3,2,19,6
R397,黃志龍,z15,中華白,3,3,0,0,0,0,1,1,0,0,0,18.0,78,254,19,1,4,0,1,3,0,0,13,10,29,22
R289,蔡璟豪,z15,中華白,4,4,0,0,0,0,0,4,0,0,0,23.1,111,414,33,1,9,0,1,16,3,0,20,17,32,20
R352,李金龍,z15,中華白,4,0,4,0,0,0,0,0,1,0,1,3.1,12,38,4,0,0,0,0,2,0,0,0,0,2,4
R242,羅政龍,z15,中華白,6,0,6,0,0,0,0,0,0,0,1,5.2,24,97,4,0,2,0,1,3,0,0,1,1,8,6
R619,黃劉清,z15,中華白,6,2,4,0,0,0,0,1,0,0,1,10.0,49,171,10,1,9,0,2,3,1,0,8,7,13,12
R670,林羿豪,z15,中華白,6,1,5,0,0,0,2,0,0,0,1,15.2,65,224,13,0,3,0,1,11,1,0,2,2,17,20
k285,梅克,z15,中華白,6,4,2,0,0,0,3,1,0,0,1,27.1,115,425,28,0,8,1,0,27,3,1,11,10,29,22
R340,買嘉儀,z15,中華白,7,0,7,0,0,0,0,0,0,0,3,7.1,34,121,6,1,5,0,0,4,0,0,5,4,7,12
R553,黃俊欽,z15,中華白,7,2,5,0,0,0,2,1,0,1,1,14.0,65,237,16,1,7,0,0,9,2,0,12,11,15,18
R673,曾琮萱,z15,中華白,8,4,4,0,0,0,2,1,1,0,0,28.0,118,428,21,2,12,0,5,21,0,1,8,7,30,29
R388,何寬揚,z15,中華白,9,2,7,0,0,0,1,1,0,0,0,14.0,60,215,15,1,8,0,0,6,0,0,6,6,26,5
k284,諾爾,z15,中華白,12,0,12,0,0,0,1,0,7,0,0,16.1,67,216,13,0,1,0,2,12,2,0,6,4,19,20
E0H7,曾秉緯,z15,中華白,13,0,13,0,0,0,0,0,0,0,4,10.0,50,164,14,1,3,2,2,4,1,0,6,4,12,13
R034,葉詠捷,z14,中華紅,1,0,1,0,0,0,0,0,0,0,0,1.0,3,11,1,0,0,0,0,1,0,0,0,0,1,0
R147,陳偉建,z14,中華紅,1,0,1,0,0,0,0,0,0,0,1,1.0,4,12,1,0,1,0,0,0,0,0,0,0,1,1
R655,單復昇,z14,中華紅,1,0,1,0,0,0,0,0,0,0,1,1.0,4,12,1,0,0,0,0,1,0,0,0,0,0,2
A0B1,鄭承浩,z14,中華紅,2,2,0,0,0,0,0,0,0,0,0,7.0,23,89,0,0,1,0,0,6,0,0,1,0,10,6
R123,陳子生,z14,中華紅,2,1,1,0,0,0,1,0,0,0,0,8.0,35,119,10,0,1,0,1,4,0,0,1,0,8,11
R427,王建勛,z14,中華紅,2,0,2,0,0,0,0,0,0,0,0,1.1,11,38,5,0,2,0,0,0,1,0,4,3,3,1
R135,王韋仁,z14,中華紅,3,0,3,0,0,0,0,0,1,0,0,3.0,12,50,2,0,2,0,0,3,0,0,1,1,2,3
R597,郭駿傑,z14,中華紅,3,0,3,0,0,0,0,0,0,0,0,3.0,11,30,2,0,0,0,0,0,0,0,0,0,2,7
R616,林旺億,z14,中華紅,3,1,2,0,0,0,1,1,0,0,0,8.0,33,106,7,0,0,0,1,6,1,1,2,2,7,12
A095,耿伯軒,z14,中華紅,4,0,4,0,0,0,0,0,0,0,0,3.1,21,82,7,0,1,0,2,5,1,0,4,2,3,3
K288,上野啟輔,z14,中華紅,4,2,2,0,0,0,1,2,0,0,1,15.0,61,236,12,0,4,0,0,9,0,0,6,3,17,19
K290,秦裕二,z14,中華紅,4,4,0,0,0,0,0,1,0,0,0,19.0,82,300,21,1,5,0,0,13,2,0,13,10,22,21
R047,王豐鑫,z14,中華紅,4,0,4,0,0,0,1,0,2,0,0,6.0,24,95,7,0,0,0,0,6,1,0,0,0,7,4
R462,盧劭禹,z14,中華紅,4,0,4,0,0,0,1,0,0,0,0,5.1,23,82,5,0,2,0,0,3,0,0,2,2,8,5
R535,曾保羅,z14,中華紅,4,1,3,0,0,0,0,0,0,0,0,8.1,35,108,6,0,1,0,0,4,0,0,3,0,19,5
R563,吳俊逸,z14,中華紅,4,0,4,0,0,0,0,0,0,0,1,4.0,19,49,8,0,0,0,0,0,1,0,3,3,4,7
R521,黃中辰,z14,中華紅,6,1,5,0,0,0,0,1,0,0,1,6.2,33,101,10,1,2,0,1,4,0,0,6,5,11,5
R575,羅國華,z14,中華紅,6,0,6,0,0,0,0,0,1,0,0,5.1,23,105,4,0,4,0,1,4,0,1,1,1,6,4
R573,石孝榮,z14,中華紅,8,0,8,0,0,0,0,2,0,0,2,7.2,38,127,10,1,3,0,1,1,1,0,7,5,16,7
k286,奎斯特,z14,中華紅,8,2,6,0,0,0,1,0,0,0,1,16.1,72,280,16,0,8,0,0,10,1,0,6,3,22,16
R622,邱品睿,z14,中華紅,9,3,6,0,0,0,2,3,0,0,0,19.0,85,316,20,1,7,0,1,16,0,0,17,6,16,25
k287,馬迪納,z14,中華紅,9,2,7,0,0,0,0,1,0,0,1,14.2,68,233,17,1,7,0,1,7,1,0,7,7,18,18
k258,羅薩里歐,z13,DOMINICAN REPUBLIC,1,0,1,0,0,0,0,0,0,0,0,0.0,1,4,0,0,1,0,0,0,2,0,0,0,0,0
k269,雅各,z13,DOMINICAN REPUBLIC,2,0,2,0,0,0,0,0,0,0,0,1.0,6,23,2,0,1,0,0,1,0,0,1,1,2,0
k262,馬賽迪斯,z13,DOMINICAN REPUBLIC,4,0,4,0,0,0,0,0,0,0,0,4.2,26,101,5,0,5,0,2,3,3,0,6,4,5,6
k259,西維里歐,z13,DOMINICAN REPUBLIC,5,0,5,0,0,0,0,1,0,0,1,7.1,34,142,7,0,5,1,0,0,1,0,6,6,11,10
k261,貝羅,z13,DOMINICAN REPUBLIC,5,4,1,1,0,0,1,3,0,0,0,22.0,96,379,16,0,17,0,0,16,3,0,13,11,23,24
k266,裴瑞茲,z13,DOMINICAN REPUBLIC,5,5,0,0,0,0,1,3,0,0,0,21.1,97,332,26,1,9,0,1,18,0,0,18,9,18,25
k263,羅哈斯,z13,DOMINICAN REPUBLIC,6,4,2,0,0,0,0,4,0,1,0,21.2,108,396,29,0,8,1,1,18,1,1,18,13,22,29
