ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000007414,松田賢大,ZZZ083,社會人,7,3,4,0,0,0,3,0,0,2,25.0,98,400,23,0,2,0,0,37,1,0,7,7,17,19
0000007426,有本雄大,ZZZ083,社會人,7,2,5,0,0,0,0,1,0,1,17.2,77,277,11,0,15,0,0,11,2,0,5,5,22,18
0000007430,笠井建吾,ZZZ083,社會人,6,2,4,0,0,0,3,0,0,1,22.1,91,339,19,0,5,0,1,25,2,0,7,6,25,16
0000007435,大宮隆寛,ZZZ083,社會人,6,2,4,0,0,0,0,0,2,0,18.0,64,278,10,0,3,0,1,19,0,0,2,2,18,13
0000007439,谷脇弘起,ZZZ083,社會人,6,3,3,0,0,0,3,0,1,1,21.0,87,355,17,2,6,0,0,26,0,0,10,9,21,17
0000007423,後藤凌寿,ZZZ083,社會人,5,3,2,0,0,0,2,1,1,0,22.0,85,358,19,0,8,0,0,10,2,0,3,2,30,18
0000007412,村上大芽,ZZZ083,社會人,4,1,3,0,0,0,0,0,0,0,12.0,49,177,9,0,2,0,1,10,0,0,2,2,11,16
0000007413,田中大成,ZZZ083,社會人,4,0,4,0,0,0,0,1,1,1,7.0,32,114,12,0,1,0,0,7,0,0,6,6,6,6
0000007443,遠藤慎也,ZZZ083,社會人,3,2,1,0,0,0,1,1,0,0,15.0,52,208,7,1,1,0,0,19,0,0,2,2,17,8
0000007390,黒田将矢,ZZZ249,日職白,11,0,11,0,0,0,0,0,2,2,12.0,54,207,13,0,6,0,0,11,0,1,7,7,7,17
0000007385,大江海透,ZZZ249,日職白,10,0,10,0,0,0,1,0,1,4,12.0,51,214,7,0,9,0,0,14,3,0,2,1,8,13
0000007388,石原勇輝,ZZZ249,日職白,9,0,9,0,0,0,0,1,0,5,10.0,42,165,8,1,7,0,0,10,0,0,8,5,12,5
0000007389,山田陽翔,ZZZ249,日職白,9,0,9,0,0,0,1,1,0,3,11.0,53,218,5,0,14,0,0,19,0,0,2,1,9,6
0000007378,田村朋輝,ZZZ249,日職白,9,1,8,0,0,0,0,0,2,2,13.0,48,202,6,0,3,0,1,17,0,0,3,2,10,11
0000007382,森本哲星,ZZZ249,日職白,7,1,6,0,0,0,1,0,0,3,12.0,51,226,12,0,3,0,0,19,1,0,6,3,8,9
0000007375,三浦克也,ZZZ249,日職白,7,0,7,0,0,0,1,0,0,4,10.0,40,171,6,0,5,0,1,10,2,2,3,3,8,10
0000007127,鴨打瑛二,ZZZ249,日職白,4,4,0,0,0,0,3,0,0,0,21.1,82,306,12,0,8,0,0,21,1,0,2,2,22,19
0000007252,松井颯,ZZZ249,日職白,4,4,0,0,0,0,1,0,0,0,22.2,83,321,16,1,3,0,0,31,0,0,5,2,23,10
0000007386,芦田丈飛,ZZZ249,日職白,4,3,1,0,0,0,0,1,0,0,12.0,49,189,9,1,4,0,0,7,0,0,4,3,15,14
0000007473,佐藤一磨,ZZZ249,日職白,3,3,0,0,0,0,0,1,0,0,13.0,55,242,12,0,7,0,1,10,0,0,5,3,17,8
0000007387,山下輝,ZZZ249,日職白,2,2,0,0,0,0,0,1,0,0,11.0,44,137,9,0,3,0,0,5,0,0,5,4,17,10
0000007073,賴胤豪,ZZZ379,台灣山,12,0,12,0,0,0,1,0,2,3,11.2,48,159,11,0,3,0,0,13,1,0,4,4,12,9
0000006857,舒治浩,ZZZ379,台灣山,11,0,11,0,0,0,2,0,1,1,10.1,44,171,7,1,5,0,2,11,1,0,6,6,12,7
0000006859,洪敏暘,ZZZ379,台灣山,11,0,11,0,0,0,1,0,0,1,7.2,39,149,11,0,3,0,1,7,4,0,7,6,4,13
0000006869,馮皓,ZZZ379,台灣山,9,0,9,0,0,0,0,0,0,1,10.0,43,160,10,3,3,0,0,7,0,0,4,4,12,11
0000002276,鄭鈞仁,ZZZ379,台灣山,9,0,9,0,0,0,0,0,2,0,7.2,31,124,6,0,2,0,0,5,0,0,0,0,7,11
0000007294,林易霆,ZZZ379,台灣山,9,0,9,0,0,0,1,0,0,3,10.2,53,216,14,0,8,0,1,17,1,0,4,3,9,4
0000007293,鍾允華,ZZZ379,台灣山,8,0,8,0,0,0,2,0,0,4,8.0,34,133,7,0,5,0,0,8,1,0,1,0,9,5
