Year,Team ID,Team,Team Nickname,Win,Lose,Tie
2012,z02,日職聯隊,日職,19,2,0
2012,z15,中華白,中華白,12,10,0
2012,z14,中華紅,中華紅,8,11,0
2012,z13,多明尼加,多明尼加,2,18,0
2013,z26,日職聯隊,日職,16,5,1
2013,z27,韓職聯隊,韓職,13,8,1
2013,z25,中職聯隊,中職,8,13,0
2013,z13,多明尼加,多明尼加,5,16,0
2015,z34,中華培訓,中華,11,5,2
2015,z26,日職聯隊,日職,11,6,2
2015,z27,韓職聯隊,韓職,8,5,5
2015,z25,台啤中職,中職,5,9,4
2015,z33,麗寶歐洲,歐洲,1,11,3
2016,z68,日職西軍,日職西,16,2,0
2016,z67,日職東軍,日職東,9,6,3
2016,z27,韓職聯隊,韓職,9,7,2
2016,z34,中華培訓,中華,6,8,4
2016,z33,歐洲聯隊,歐洲,4,12,1
2016,z25,中職聯隊,中職,3,12,2
2017,z70,日本社會人,社會人,12,5,2
2017,z25,亞太中職,中職,11,7,1
2017,z27,韓職聯隊,韓職,9,8,2
2017,z67,日職東軍,日職東,10,9,0
2017,z68,日職西軍,日職西,6,11,1
2017,z71,歐美聯隊,歐美,4,12,2
2018,z67,日職東軍,日職東,14,5,0
2018,z70,日本社會人,社會人,9,7,3
2018,z25,中職聯隊,中職,10,8,1
2018,z27,韓職聯隊,韓職,5,11,3
2018,z68,日職西軍,日職西,3,10,3
